method,problem_id,candidate_id,problem_type,difficulty,selected,executable,status,objective,reference_objective,score,objective_correct,relative_error,structure_score,semantic_consistency_score,runtime_sec,repair_feedback_count,error,expected_inventory_balance,detected_inventory_balance,expected_order_variable,detected_order_variable,expected_inventory_variable,detected_inventory_variable,expected_shortage_variable,detected_shortage_variable,expected_capacity_constraint,detected_capacity_constraint,expected_binary_order_variable,detected_binary_order_variable,expected_big_m_constraint,detected_big_m_constraint,expected_lead_time,detected_lead_time,expected_holding_cost,detected_holding_cost,expected_shortage_cost,detected_shortage_cost,expected_fixed_order_cost,detected_fixed_order_cost
Solver-Filter,multi_item_capacity_0001,cand_0_syntax_error,multi_item_capacity,hard,True,False,Error,,426.0,0.0,0.0,,0.0,0.0,0.44652830000268295,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\multi_item_capacity_0001\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\multi_item_capacity_0001\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
Solver-Filter,multi_item_capacity_0002,cand_0_syntax_error,multi_item_capacity,hard,True,False,Error,,1610.0,0.0,0.0,,0.0,0.0,0.4753311999957077,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\multi_item_capacity_0002\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\multi_item_capacity_0002\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
Solver-Filter,fixed_order_cost_big_m_0000,cand_0_syntax_error,fixed_order_cost_big_m,hard,True,False,Error,,756.0,0.0,0.0,,0.0,0.0,0.45815720001701266,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\fixed_order_cost_big_m_0000\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\fixed_order_cost_big_m_0000\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
Solver-Filter,fixed_order_cost_big_m_0001,cand_0_syntax_error,fixed_order_cost_big_m,hard,True,False,Error,,727.0,0.0,0.0,,0.0,0.0,0.4370422000065446,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\fixed_order_cost_big_m_0001\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\fixed_order_cost_big_m_0001\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
Solver-Filter,fixed_order_cost_big_m_0002,cand_0_syntax_error,fixed_order_cost_big_m,hard,True,False,Error,,843.0,0.0,0.0,,0.0,0.0,0.4842104999697767,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\fixed_order_cost_big_m_0002\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\fixed_order_cost_big_m_0002\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
Structure-Only,single_period_newsvendor_0000,cand_0_syntax_error,single_period_newsvendor,easy,True,False,Error,,111.0,0.0,0.0,,0.0,0.0,0.4718863000161946,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\single_period_newsvendor_0000\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\single_period_newsvendor_0000\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
Structure-Only,single_period_newsvendor_0001,cand_0_syntax_error,single_period_newsvendor,easy,True,False,Error,,122.0,0.0,0.0,,0.0,0.0,0.43168770003831014,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\single_period_newsvendor_0001\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\single_period_newsvendor_0001\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
Structure-Only,single_period_newsvendor_0002,cand_0_syntax_error,single_period_newsvendor,easy,True,False,Error,,580.0,0.0,0.0,,0.0,0.0,0.4704402999486774,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\single_period_newsvendor_0002\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\single_period_newsvendor_0002\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
Structure-Only,single_item_multi_period_0000,cand_0_syntax_error,single_item_multi_period,medium,True,False,Error,,192.0,0.0,0.0,,0.0,0.0,0.4491829000180587,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\single_item_multi_period_0000\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\single_item_multi_period_0000\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
Structure-Only,single_item_multi_period_0001,cand_0_syntax_error,single_item_multi_period,medium,True,False,Error,,876.0,0.0,0.0,,0.0,0.0,0.4461592999869026,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\single_item_multi_period_0001\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\single_item_multi_period_0001\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
Structure-Only,single_item_multi_period_0002,cand_0_syntax_error,single_item_multi_period,medium,True,False,Error,,140.0,0.0,0.0,,0.0,0.0,0.4386532999924384,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\single_item_multi_period_0002\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\single_item_multi_period_0002\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
Structure-Only,single_item_multi_period_shortage_0000,cand_0_syntax_error,single_item_multi_period_shortage,medium,True,False,Error,,208.0,0.0,0.0,,0.0,0.0,0.4400530999992043,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\single_item_multi_period_shortage_0000\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\single_item_multi_period_shortage_0000\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
Structure-Only,single_item_multi_period_shortage_0001,cand_0_syntax_error,single_item_multi_period_shortage,medium,True,False,Error,,235.0,0.0,0.0,,0.0,0.0,0.44345600000815466,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\single_item_multi_period_shortage_0001\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\single_item_multi_period_shortage_0001\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
Structure-Only,single_item_multi_period_shortage_0002,cand_0_syntax_error,single_item_multi_period_shortage,medium,True,False,Error,,360.0,0.0,0.0,,0.0,0.0,0.43906970001989976,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\single_item_multi_period_shortage_0002\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\single_item_multi_period_shortage_0002\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
Structure-Only,multi_item_capacity_0000,cand_0_syntax_error,multi_item_capacity,hard,True,False,Error,,745.0,0.0,0.0,,0.0,0.0,0.49053360003745183,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\multi_item_capacity_0000\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\multi_item_capacity_0000\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
Structure-Only,multi_item_capacity_0001,cand_0_syntax_error,multi_item_capacity,hard,True,False,Error,,426.0,0.0,0.0,,0.0,0.0,0.44652830000268295,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\multi_item_capacity_0001\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\multi_item_capacity_0001\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
Structure-Only,multi_item_capacity_0002,cand_0_syntax_error,multi_item_capacity,hard,True,False,Error,,1610.0,0.0,0.0,,0.0,0.0,0.4753311999957077,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\multi_item_capacity_0002\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\multi_item_capacity_0002\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
Structure-Only,fixed_order_cost_big_m_0000,cand_0_syntax_error,fixed_order_cost_big_m,hard,True,False,Error,,756.0,0.0,0.0,,0.0,0.0,0.45815720001701266,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\fixed_order_cost_big_m_0000\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\fixed_order_cost_big_m_0000\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
Structure-Only,fixed_order_cost_big_m_0001,cand_0_syntax_error,fixed_order_cost_big_m,hard,True,False,Error,,727.0,0.0,0.0,,0.0,0.0,0.4370422000065446,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\fixed_order_cost_big_m_0001\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\fixed_order_cost_big_m_0001\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
Structure-Only,fixed_order_cost_big_m_0002,cand_0_syntax_error,fixed_order_cost_big_m,hard,True,False,Error,,843.0,0.0,0.0,,0.0,0.0,0.4842104999697767,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\fixed_order_cost_big_m_0002\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\fixed_order_cost_big_m_0002\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
ReplenishVerifier-Full,single_period_newsvendor_0000,cand_0_syntax_error,single_period_newsvendor,easy,True,False,Error,,111.0,0.0,0.0,,0.0,0.0,0.4718863000161946,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\single_period_newsvendor_0000\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\single_period_newsvendor_0000\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
ReplenishVerifier-Full,single_period_newsvendor_0001,cand_0_syntax_error,single_period_newsvendor,easy,True,False,Error,,122.0,0.0,0.0,,0.0,0.0,0.43168770003831014,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\single_period_newsvendor_0001\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\single_period_newsvendor_0001\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
ReplenishVerifier-Full,single_period_newsvendor_0002,cand_0_syntax_error,single_period_newsvendor,easy,True,False,Error,,580.0,0.0,0.0,,0.0,0.0,0.4704402999486774,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\single_period_newsvendor_0002\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\single_period_newsvendor_0002\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
ReplenishVerifier-Full,single_item_multi_period_0000,cand_0_syntax_error,single_item_multi_period,medium,True,False,Error,,192.0,0.0,0.0,,0.0,0.0,0.4491829000180587,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\single_item_multi_period_0000\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\single_item_multi_period_0000\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
ReplenishVerifier-Full,single_item_multi_period_0001,cand_0_syntax_error,single_item_multi_period,medium,True,False,Error,,876.0,0.0,0.0,,0.0,0.0,0.4461592999869026,0,"Traceback (most recent call last):
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\single_item_multi_period_0001\cand_0_syntax_error\_runner.py"", line 16, in <module>
    spec.loader.exec_module(mod)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""\\wsl.localhost\Ubuntu\home\dongaorui\projects\lunwen\runs\smoke_no_leakage\candidate_runs_k1\single_item_multi_period_0001\cand_0_syntax_error\cand_0_syntax_error.py"", line 1
    def build_model(:
                    ^
SyntaxError: invalid syntax
",,,,,,,,,,,,,,,,,,,,,,
